order_id,item_price,quantity,item_category,item_name,created_at_time,created_date,delivery_address1,delivery_address2,delivery_city,delivery_zipcode,delivery,created_at
ORD_00001,14.00,8.00,Pizza,Pizza Margherita Large,11:44:56,01-01-23,9 Utah Court,Apt 238,Queens,0007Q,TRUE,2023-01-01 11:44:56
ORD_00001,6.00,7.00,Side,Garlic Bread,11:44:56,01-01-23,9 Utah Court,Apt 238,Queens,0007Q,TRUE,2023-01-01 11:44:56
ORD_00001,18.00,3.00,Pizza,Pizza Parmigiana Large,11:44:56,01-01-23,9 Utah Court,Apt 238,Queens,0007Q,TRUE,2023-01-01 11:44:56
ORD_00001,18.00,1.00,Pizza,Pizza Parmigiana Large,11:44:56,01-01-23,9 Utah Court,Apt 238,Queens,0007Q,TRUE,2023-01-01 11:44:56
ORD_00001,18.00,6.00,Pizza,Pizza Napolitana Large,11:44:56,01-01-23,9 Utah Court,Apt 238,Queens,0007Q,TRUE,2023-01-01 11:44:56
ORD_00002,6.00,4.00,Dessert,Strawberry Ice Cream,12:43:00,01-01-23,2368 Menomonie Point,Room 910,Brooklyn,0005B,TRUE,2023-01-01 12:43:00
ORD_00002,6.00,4.00,Beverage,Coca Cola 1.5l,12:43:00,01-01-23,2368 Menomonie Point,Room 910,Brooklyn,0005B,TRUE,2023-01-01 12:43:00
ORD_00002,16.00,2.00,Pizza,Pizza Napolitana Regular,12:43:00,01-01-23,2368 Menomonie Point,Room 910,Brooklyn,0005B,TRUE,2023-01-01 12:43:00
ORD_00002,3.00,6.00,Beverage,Diet Coke 33cl,12:43:00,01-01-23,2368 Menomonie Point,Room 910,Brooklyn,0005B,TRUE,2023-01-01 12:43:00
ORD_00003,6.00,6.00,Beverage,7 Up 1.5l,12:03:27,01-01-23,1 Lighthouse Bay Plaza,,Bronx,0004B,FALSE,2023-01-01 12:03:27
ORD_00003,4.00,6.00,Beverage,Sparkling Water 1.5l,12:03:27,01-01-23,1 Lighthouse Bay Plaza,,Bronx,0004B,FALSE,2023-01-01 12:03:27
ORD_00003,19.00,6.00,Pizza,Pizza Diavola Large,12:03:27,01-01-23,1 Lighthouse Bay Plaza,,Bronx,0004B,FALSE,2023-01-01 12:03:27
ORD_00004,6.00,6.00,Dessert,Vanilla Ice Cream,20:33:41,01-01-23,99 Continental Pass,,Bronx,0004B,TRUE,2023-01-01 20:33:41
ORD_00004,3.00,1.00,Beverage,Coca Cola 33cl,20:33:41,01-01-23,99 Continental Pass,,Bronx,0004B,TRUE,2023-01-01 20:33:41
ORD_00004,6.00,5.00,Beverage,Coca Cola 1.5l,20:33:41,01-01-23,99 Continental Pass,,Bronx,0004B,TRUE,2023-01-01 20:33:41
ORD_00005,2.00,8.00,Beverage,Sparkling Water 33cl,11:36:00,01-01-23,7530 Elka Place,,Brooklyn,0005B,TRUE,2023-01-01 11:36:00
ORD_00005,12.00,3.00,Pizza,Pizza Margherita Regular,11:36:00,01-01-23,7530 Elka Place,,Brooklyn,0005B,TRUE,2023-01-01 11:36:00
ORD_00006,5.00,7.00,Side,Breadsticks,22:20:10,01-01-23,7530 Elka Place,,Brooklyn,0005B,FALSE,2023-01-01 22:20:10
ORD_00006,7.00,10.00,Side,Caesar Salad,22:20:10,01-01-23,7530 Elka Place,,Brooklyn,0005B,FALSE,2023-01-01 22:20:10
ORD_00007,5.00,1.00,Dessert,Chocolate Brownie,18:49:00,01-01-23,30096 School Center,,Manhattan,0001M,TRUE,2023-01-01 18:49:00
ORD_00008,17.00,8.00,Pizza,Pizza Pepperoni Large,10:30:20,01-01-23,88 Hanover Drive,,Bronx,0004B,TRUE,2023-01-01 10:30:20
ORD_00008,6.00,9.00,Dessert,Pistachio Ice Crearn,10:30:20,01-01-23,88 Hanover Drive,,Bronx,0004B,TRUE,2023-01-01 10:30:20
ORD_00009,6.00,5.00,Dessert,Chocolate Ice Cream,21:56:27,01-01-23,038 Loftsgordon Way,,Queens,0007Q,FALSE,2023-01-01 21:56:27
ORD_00009,18.00,5.00,Pizza,Pizza Napolitana Large,21:56:27,01-01-23,038 Loftsgordon Way,,Queens,0007Q,FALSE,2023-01-01 21:56:27
ORD_00010,17.00,7.00,Pizza,Pizza Seafood Regular,22:32:33,01-01-23,178 Morning Place,Apt 1530,Bronx,0004B,FALSE,2023-01-01 22:32:33
ORD_00010,16.00,3.00,Pizza,Pizza Quattro Formaggi Regular,22:32:33,01-01-23,178 Morning Place,Apt 1530,Bronx,0004B,FALSE,2023-01-01 22:32:33
ORD_00010,3.00,3.00,Beverage,7 Up 33cl,22:32:33,01-01-23,178 Morning Place,Apt 1530,Bronx,0004B,FALSE,2023-01-01 22:32:33
ORD_00010,12.00,9.00,Pizza,Pizza Margherita Regular,22:32:33,01-01-23,178 Morning Place,Apt 1530,Bronx,0004B,FALSE,2023-01-01 22:32:33
ORD_00010,17.00,10.00,Pizza,Pizza Hawaiian Large,22:32:33,02-01-23,178 Morning Place,Apt 1530,Bronx,0004B,FALSE,2023-01-02 22:32:33
ORD_00011,2.00,10.00,Beverage,Sparkling Water 33cl,11:51:25,02-01-23,8 Kropf Crossing,,Manhattan,0001M,TRUE,2023-01-02 11:51:25
ORD_00011,14.00,5.00,Pizza,Pizza Margherita Large,11:51:25,02-01-23,8 Kropf Crossing,,Manhattan,0001M,TRUE,2023-01-02 11:51:25
ORD_00011,17.00,6.00,Pizza,Pizza Pepperoni Large,11:51:25,02-01-23,8 Kropf Crossing,,Manhattan,0001M,TRUE,2023-01-02 11:51:25
ORD_00011,18.00,5.00,Pizza,Pizza Parmigiana Large,11:51:25,02-01-23,8 Kropf Crossing,,Manhattan,0001M,TRUE,2023-01-02 11:51:25
ORD_00012,5.00,1.00,Dessert,Chocolate Brownie,22:54:55,02-01-23,95505 Oakridge Alley,,Brooklyn,0005B,TRUE,2023-01-02 22:54:55
ORD_00012,6.00,4.00,Dessert,Vanilla Ice Cream,22:54:55,02-01-23,95505 Oakridge Alley,,Brooklyn,0005B,TRUE,2023-01-02 22:54:55
ORD_00012,3.00,3.00,Beverage,Coca Cola 33cl,22:54:55,02-01-23,95505 Oakridge Alley,,Brooklyn,0005B,TRUE,2023-01-02 22:54:55
ORD_00013,7.00,8.00,Side,Chicken Wings,22:35:32,02-01-23,1 Almo Road,,Brooklyn,0005B,FALSE,2023-01-02 22:35:32
ORD_00013,15.00,6.00,Pizza,Pizza Parmigiana Regular,22:35:32,02-01-23,1 Almo Road,,Brooklyn,0005B,FALSE,2023-01-02 22:35:32
ORD_00013,17.00,10.00,Pizza,Pizza Hawaiian Large,22:35:32,02-01-23,1 Almo Road,,Brooklyn,0005B,FALSE,2023-01-02 22:35:32
ORD_00014,19.00,1.00,Pizza,Pizza Diavola Large,19:57:59,02-01-23,35722 Russell Street,,Staten Island,0010SI,TRUE,2023-01-02 19:57:59
ORD_00014,16.00,5.00,Pizza,Pizza Diavola Regular,19:57:59,02-01-23,35722 Russell Street,,Staten Island,0010SI,TRUE,2023-01-02 19:57:59
ORD_00014,16.00,1.00,Pizza,Pizza Diavola Regular,19:57:59,03-01-23,35722 Russell Street,,Staten Island,0010SI,TRUE,2023-01-03 19:57:59
ORD_00014,18.00,1.00,Pizza,Pizza Parmigiana Large,19:57:59,03-01-23,35722 Russell Street,,Staten Island,0010SI,TRUE,2023-01-03 19:57:59
ORD_00015,6.00,10.00,Side,Garlic Bread,13:28:00,03-01-23,86 Jay Alley,,Queens,0007Q,TRUE,2023-01-03 13:28:00
ORD_00015,20.00,8.00,Pizza,Pizza Seafood Large,13:28:00,03-01-23,86 Jay Alley,,Queens,0007Q,TRUE,2023-01-03 13:28:00
ORD_00016,17.00,3.00,Pizza,Pizza Pepperoni Large,11:29:45,03-01-23,5267 Melvin Pass,,Brooklyn,0005B,FALSE,2023-01-03 11:29:45
ORD_00016,12.00,4.00,Pizza,Pizza Margherita Regular,11:29:45,03-01-23,5267 Melvin Pass,,Brooklyn,0005B,FALSE,2023-01-03 11:29:45
ORD_00016,17.00,3.00,Pizza,Pizza Hawaiian Large,11:29:45,03-01-23,5267 Melvin Pass,,Brooklyn,0005B,FALSE,2023-01-03 11:29:45
ORD_00017,16.00,7.00,Pizza,Pizza Diavola Regular,13:11:53,03-01-23,473 Colorado Junction,,Staten Island,0010SI,TRUE,2023-01-03 13:11:53
ORD_00018,3.00,5.00,Beverage,Coca Cola 33cl,22:37:05,03-01-23,13378 Hoepker Point,,Brooklyn,0005B,TRUE,2023-01-03 22:37:05
ORD_00018,2.00,3.00,Beverage,Sparkling Water 33cl,22:37:05,03-01-23,13378 Hoepker Point,,Brooklyn,0005B,TRUE,2023-01-03 22:37:05
ORD_00019,6.00,3.00,Dessert,Strawberry Ice Cream,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00019,6.00,5.00,Beverage,7 Up 1.5l,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00019,18.00,10.00,Pizza,Pizza Napolitana Large,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00019,6.00,8.00,Dessert,Strawberry Ice Cream,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00019,16.00,10.00,Pizza,Pizza Napolitana Regular,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00019,17.00,9.00,Pizza,Pizza Hawaiian Large,22:41:24,03-01-23,79992 Bultman Pass,,Queens,0007Q,FALSE,2023-01-03 22:41:24
ORD_00020,6.00,1.00,Beverage,Coca Cola 1.5l,20:54:31,03-01-23,5170 Armistice Hill,Room 589,Staten Island,0010SI,FALSE,2023-01-03 20:54:31
ORD_00023,7.00,3.00,Side,Chicken Wings,21:17:49,04-01-23,6241 Artisan Center,Apt 424,Queens,0007Q,FALSE,2023-01-04 21:17:49
ORD_00023,3.00,10.00,Beverage,Diet Coke 33cl,21:17:49,04-01-23,6241 Artisan Center,Apt 424,Queens,0007Q,FALSE,2023-01-04 21:17:49
ORD_00023,4.00,7.00,Beverage,Sparkling Water 1.5l,21:17:49,04-01-23,6241 Artisan Center,Apt 424,Queens,0007Q,FALSE,2023-01-04 21:17:49
ORD_00023,3.00,3.00,Beverage,Diet Coke 33cl,21:17:49,04-01-23,6241 Artisan Center,Apt 424,Queens,0007Q,FALSE,2023-01-04 21:17:49
ORD_00024,14.00,2.00,Pizza,Pizza Margherita Large,22:50:26,04-01-23,71388 Ridgeview Point,,Brooklyn,0005B,TRUE,2023-01-04 22:50:26
ORD_00024,19.00,5.00,Pizza,Pizza Diavola Large,22:50:26,04-01-23,71388 Ridgeview Point,,Brooklyn,0005B,TRUE,2023-01-04 22:50:26
ORD_00025,6.00,8.00,Dessert,Chocolate Ice Cream,11:00:04,04-01-23,79992 Bultman Pass,,Queens,0007Q,TRUE,2023-01-04 11:00:04
ORD_00025,4.00,9.00,Beverage,Sparkling Water 1.5l,11:00:04,04-01-23,79992 Bultman Pass,,Queens,0007Q,TRUE,2023-01-04 11:00:04
ORD_00026,7.00,3.00,Dessert,Banoffee Pie,20:25:04,04-01-23,038 Loftsgordon Way,,Queens,0007Q,FALSE,2023-01-04 20:25:04
ORD_00026,14.00,6.00,Pizza,Pizza Margherita Large,20:25:04,04-01-23,038 Loftsgordon Way,,Queens,0007Q,FALSE,2023-01-04 20:25:04
ORD_00026,4.00,6.00,Beverage,Sparkling Water 1.5l,20:25:04,04-01-23,038 Loftsgordon Way,,Queens,0007Q,FALSE,2023-01-04 20:25:04
ORD_00027,19.00,8.00,Pizza,Pizza Diavola Large,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00027,15.00,1.00,Pizza,Pizza Pepperoni Regular,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00027,18.00,3.00,Pizza,Pizza Napolitana Large,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00027,17.00,8.00,Pizza,Pizza Pepperoni Large,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00027,7.00,1.00,Dessert,Banoffee Pie,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00027,2.00,1.00,Beverage,Sparkling Water 33cl,21:08:49,04-01-23,67019 Mendota Crossing,,Brooklyn,0005B,TRUE,2023-01-04 21:08:49
ORD_00028,6.00,7.00,Beverage,Fanta 1.5l,12:50:07,04-01-23,83 Oriole Road,Room 1567,Queens,0007Q,TRUE,2023-01-04 12:50:07
ORD_00028,19.00,3.00,Pizza,Pizza Quattro Formaggi Large,12:50:07,04-01-23,83 Oriole Road,Room 1567,Queens,0007Q,TRUE,2023-01-04 12:50:07
ORD_00028,16.00,9.00,Pizza,Pizza Diavola Regular,12:50:07,04-01-23,83 Oriole Road,Room 1567,Queens,0007Q,TRUE,2023-01-04 12:50:07
